Year,Position,n,avg_height,avg_weight,avg_40dash,avg_vert,avg_benchp,avg_broadj,avg_3cone,avg_20shut
2000,C,4,75.25,292.5,5.1425,30.333333333333332,21.0,103.33333333333333,7.525,4.574999999999999
2000,CB,34,70.91176470588235,192.3235294117647,4.5194117647058825,36.02,14.476190476190476,119.33333333333333,6.9504347826086965,4.1477272727272725
2000,DE,21,75.47619047619048,272.5238095238095,4.902999999999999,32.46875,24.714285714285715,112.25,7.441428571428571,4.46
2000,DT,27,75.0,300.51851851851853,5.083703703703704,29.571428571428573,26.0,103.19047619047619,7.608421052631579,4.603684210526315
2000,FB,10,72.2,243.3,4.812,32.0,22.333333333333332,112.0,7.405714285714287,4.484285714285714
2000,ILB,13,73.61538461538461,245.15384615384616,4.7907692307692304,32.15,19.7,112.22222222222223,7.184444444444444,4.293333333333333
2000,OG,24,75.625,310.25,5.319166666666667,28.18421052631579,23.894736842105264,98.6842105263158,8.001111111111111,4.7976470588235305
2000,OLB,23,74.47826086956522,240.7391304347826,4.672173913043479,33.46153846153846,20.923076923076923,115.0,7.28,4.291818181818182
2000,OT,20,76.95,320.35,5.360500000000001,27.0,23.526315789473685,98.4375,7.925333333333333,4.810666666666666
2000,QB,18,73.83333333333333,215.61111111111111,4.938888888888889,29.807692307692307,,104.3125,7.359999999999999,4.423333333333333
2000,RB,34,70.8529411764706,212.97058823529412,4.584411764705883,34.1875,18.476190476190474,117.96153846153847,6.998571428571428,4.2385714285714275
2000,S,24,71.66666666666667,200.5,4.5804166666666655,36.35294117647059,14.842105263157896,118.27777777777777,6.930000000000001,4.228888888888891
2000,TE,15,76.33333333333333,255.93333333333334,4.824,32.63636363636363,19.75,112.9090909090909,7.132222222222222,4.296666666666667
2000,WR,45,72.68888888888888,197.15555555555557,4.563777777777778,35.03125,,118.84848484848484,7.036153846153847,4.1644000000000005
2001,C,9,75.11111111111111,299.55555555555554,5.284444444444445,30.714285714285715,24.142857142857142,102.42857142857143,7.888571428571429,4.6
2001,CB,35,70.77142857142857,192.62857142857143,4.548857142857143,37.092592592592595,12.714285714285714,119.96428571428571,7.136666666666664,4.194285714285714
2001,DE,30,75.76666666666667,268.2,4.881333333333332,34.525,23.25,115.4,7.424736842105263,4.348947368421052
2001,DT,24,75.04166666666667,305.1666666666667,5.084583333333334,30.2,25.916666666666668,102.72727272727273,7.835454545454545,4.633636363636364
2001,FB,7,71.57142857142857,251.28571428571428,4.797142857142857,31.75,23.333333333333332,110.16666666666667,7.566666666666667,4.378333333333334
2001,ILB,12,73.58333333333333,244.66666666666666,4.72,36.416666666666664,24.0,114.66666666666667,7.389999999999999,4.353999999999999
2001,OG,35,75.97142857142858,306.9428571428571,5.325142857142857,30.446428571428573,23.64516129032258,101.77777777777777,8.02818181818182,4.7073913043478255
2001,OLB,14,73.35714285714286,237.78571428571428,4.7335714285714285,34.333333333333336,20.272727272727273,113.5,7.351249999999999,4.284444444444444
2001,OT,17,77.3529411764706,325.1764705882353,5.3211764705882345,30.4,24.928571428571427,100.5,8.075454545454544,4.7345454545454535
2001,QB,18,73.88888888888889,220.11111111111111,4.791666666666666,33.7,,110.0,7.308666666666667,4.319333333333333
2001,RB,20,70.55,212.7,4.534999999999998,35.61538461538461,16.642857142857142,117.92307692307692,7.2011111111111115,4.234444444444445
2001,S,24,72.20833333333333,207.79166666666666,4.592083333333334,35.92857142857143,16.352941176470587,117.85714285714286,7.153076923076924,4.147
2001,TE,20,75.75,254.0,4.869999999999999,33.38235294117647,17.333333333333332,110.125,7.3825,4.34
2001,WR,46,72.17391304347827,196.3913043478261,4.516739130434782,37.33870967741935,,119.5625,7.137142857142858,4.111363636363636
2002,C,11,74.81818181818181,297.6363636363636,5.205454545454544,30.25,28.1,101.2,7.646000000000001,4.593
2002,CB,27,71.03703703703704,192.74074074074073,4.515925925925926,36.642857142857146,12.35,119.68181818181819,6.999166666666667,4.1669230769230765
2002,DE,24,76.0,269.0,4.801666666666667,34.411764705882355,24.85,114.4375,7.3306249999999995,4.354375
2002,DT,19,75.57894736842105,302.0,5.057368421052632,30.535714285714285,26.928571428571427,104.71428571428571,7.585000000000001,4.515000000000001
2002,FB,12,72.75,243.83333333333334,4.733333333333333,33.7,22.181818181818183,116.2,7.27,4.308888888888889
2002,ILB,13,74.3076923076923,244.0,4.781538461538462,34.05,22.22222222222222,114.8,7.081666666666667,4.22
2002,OG,26,75.73076923076923,317.65384615384613,5.335769230769232,27.543478260869566,25.85,98.3157894736842,8.127894736842107,4.854210526315789
2002,OLB,20,73.95,239.9,4.662000000000001,35.473684210526315,22.38888888888889,117.77777777777777,7.0994117647058825,4.206249999999999
2002,OT,15,77.8,320.6,5.300000000000001,29.0,26.2,103.4,7.86875,4.7562500000000005
2002,QB,14,74.21428571428571,220.64285714285714,4.809285714285715,32.625,,109.75,7.103333333333334,4.18
2002,RB,36,70.80555555555556,214.16666666666666,4.58861111111111,34.93333333333333,18.933333333333334,115.73333333333333,7.071052631578947,4.186470588235294
2002,S,31,72.6774193548387,209.6451612903226,4.582258064516129,36.0625,18.791666666666668,120.75,6.943529411764707,4.069375
2002,TE,22,76.0909090909091,255.54545454545453,4.784285714285714,32.78947368421053,18.88235294117647,112.61111111111111,7.194615384615385,4.245000000000001
2002,WR,37,72.45945945945945,198.0,4.501351351351351,36.645833333333336,,120.8695652173913,6.917272727272729,4.084999999999999
2003,C,12,74.91666666666667,301.25,5.261666666666667,27.6,24.833333333333332,101.8,8.041999999999998,4.659999999999999
2003,CB,25,70.84,193.52,4.481599999999999,36.0,14.333333333333334,122.82608695652173,7.009500000000001,4.108421052631578
2003,DE,30,75.3,270.8,4.853666666666666,33.23809523809524,23.91304347826087,113.5909090909091,7.554666666666666,4.502666666666667
2003,DT,22,74.5,303.90909090909093,5.103181818181818,29.583333333333332,27.071428571428573,104.64285714285714,7.734,4.641818181818182
2003,FB,8,71.875,245.75,4.68875,32.857142857142854,22.714285714285715,112.0,7.460000000000001,4.359999999999999
2003,ILB,19,73.05263157894737,242.52631578947367,4.819473684210526,32.125,22.846153846153847,112.64285714285714,7.415384615384614,4.359230769230769
